decade,genres,average_score,count
1970.0,Action,6.738571428571428,56
1970.0,Adventure,6.605393258426966,89
1970.0,Comedy,6.358035714285714,56
1970.0,Drama,6.950408163265306,49
1970.0,Fantasy,6.4772727272727275,22
1970.0,Romance,6.8981818181818175,11
1970.0,Sci-Fi,6.723387096774194,62
1970.0,Shounen,6.791025641025642,39
1970.0,Slice of Life,6.701923076923077,26
1980.0,Action,6.714318181818181,132
1980.0,Adventure,6.705034965034965,143
1980.0,Comedy,6.590445859872612,157
1980.0,Drama,6.978795180722892,83
1980.0,Fantasy,6.581267605633802,71
1980.0,Romance,6.93531914893617,47
1980.0,School,6.806923076923076,26
1980.0,Sci-Fi,6.674148148148148,135
1980.0,Shounen,7.023243243243243,74
1980.0,Slice of Life,6.836,45
1990.0,Action,6.567686832740214,281
1990.0,Adventure,6.744515151515151,330
1990.0,Comedy,6.6428368794326245,423
1990.0,Drama,6.996407185628743,167
1990.0,Fantasy,6.542794117647059,204
1990.0,Romance,6.80562091503268,153
1990.0,School,6.610416666666667,72
1990.0,Sci-Fi,6.651056910569106,246
1990.0,Shounen,6.879095744680851,188
1990.0,Slice of Life,6.584605263157894,76
2000.0,Action,7.02021551724138,464
2000.0,Adventure,6.900817941952506,379
2000.0,Comedy,6.798661327231121,874
2000.0,Drama,7.1166273584905655,424
2000.0,Fantasy,6.8840104166666665,384
2000.0,Romance,7.000182767624021,383
2000.0,School,6.944204081632653,245
2000.0,Sci-Fi,6.849283950617284,405
2000.0,Shounen,7.156666666666666,315
2000.0,Slice of Life,6.907500000000001,204
2010.0,Action,6.990475609756097,820
2010.0,Adventure,6.811614583333333,384
2010.0,Comedy,6.547687460617517,1587
2010.0,Drama,7.251680672268908,357
2010.0,Fantasy,6.829181102362204,635
2010.0,Romance,7.148913525498891,451
2010.0,School,7.016853741496599,588
2010.0,Sci-Fi,6.681016949152542,354
2010.0,Shounen,7.308696741854637,399
2010.0,Slice of Life,6.651685950413223,605
